sub_order,sub_name,sub_id,id,group,rs_run-1,rs_run-2,rs_run-3,MH,HM,phenoscore_control,phenoscore_meditation,phenoscore_hypnose,outlier,outlier_phenoscores
70,EH070,sub-01,1,G2,control,hypnose,meditation,0,1,-0.285714285714286,-0.571428571428571,1.71428571428571,0,0
87,LP087,sub-02,2,G1,control,meditation,hypnose,1,0,-0.5,-0.5,0.5,0,0
76,HM076,sub-03,3,G1,control,meditation,hypnose,1,0,0.25,0,2.25,0,0
43,BA043,sub-04,4,G1,control,meditation,hypnose,1,0,0.8,-0.6,0.2,0,0
93,BA093,sub-05,5,G2,control,hypnose,meditation,0,1,0.5,0.375,-0.125,0,0
91,MP091,sub-06,6,G1,control,meditation,hypnose,1,0,-0.6,-0.8,1.6,0,0
67,BL067,sub-07,7,G1,control,meditation,hypnose,1,0,31.12,0.166666666666667,0.666666666666667,0,0
21,GM021,sub-08,8,G2,control,hypnose,meditation,0,1,0.75,0.75,0.75,0,0
29,NJ029,sub-09,9,G2,control,hypnose,meditation,0,1,0.5,-1,-0.333333333333333,0,0
82,BC082,sub-10,10,G1,control,meditation,hypnose,1,0,,,,0,1
100,GP100,sub-11,11,G1,control,meditation,hypnose,1,0,,,,0,1
64,FV064,sub-12,12,G2,control,hypnose,meditation,0,1,0.25,0.5,2,0,0
52,GN052,sub-13,13,G1,control,meditation,hypnose,1,0,0,0,0,0,0
46,PV046,sub-14,14,G1,control,meditation,hypnose,1,0,0.2,0.2,2.2,0,0
89,VJ089,sub-15,15,G2,control,hypnose,meditation,0,1,0.666666666666667,-0.5,0.333333333333333,1,0
60,LA060,sub-16,16,G2,control,hypnose,meditation,0,1,0.4,0,1.6,0,0
24,PM024,sub-17,17,G1,control,meditation,hypnose,1,0,,,,0,1
94,LD094,sub-18,18,G2,control,hypnose,meditation,0,1,0,-0.4,1.2,0,0
73,BF073,sub-19,19,G1,control,meditation,hypnose,1,0,1.4,1,2.2,0,0
38,BO038,sub-20,20,G1,control,meditation,hypnose,1,0,,,,0,1
25,CS025,sub-21,21,G2,control,hypnose,meditation,0,1,1,-1,1,0,0
85,FM085,sub-22,22,G1,control,meditation,hypnose,1,0,1.25,-0.25,-0.25,0,0
41,MA041,sub-23,23,G2,control,hypnose,meditation,0,1,1.2,0.8,2,0,0
102,AB102,sub-24,24,G2,control,hypnose,meditation,0,1,0.5,-0.75,1.5,0,0
1,KA001,sub-25,25,G2,control,hypnose,meditation,0,1,0.125,0.25,1,0,1
86,RJ086,sub-26,26,G1,control,meditation,hypnose,1,0,1.25,0,0.75,0,0
81,CF081,sub-27,27,G2,control,hypnose,meditation,0,1,,,,1,1
84,EC084,sub-28,28,G1,control,meditation,hypnose,1,0,0,1,0.625,0,0
34,HR034,sub-29,29,G2,control,hypnose,meditation,0,1,30.12,1,1,0,0
62,CT062,sub-30,30,G2,control,hypnose,meditation,0,1,-0.75,-1.25,2.25,0,0
101,DM101,sub-31,31,G2,control,hypnose,meditation,0,1,,,,0,1
44,SR044,sub-32,32,G1,control,meditation,hypnose,1,0,0.5,-0.166666666666667,2.16666666666667,1,0
14,JC014,sub-33,33,G2,control,hypnose,meditation,0,1,0,-0.4,0.8,0,0
7,AV007,sub-34,34,G1,control,meditation,hypnose,1,0,0.33,0,-0.33,0,0
51,PJ051,sub-35,35,G2,control,hypnose,meditation,0,1,0.571428571428571,0.428571428571429,-0.428571428571429,0,0
56,CE056,sub-36,36,G1,control,meditation,hypnose,1,0,0.875,-0.375,1.5,0,0
78,MG078,sub-37,37,G2,control,hypnose,meditation,0,1,0.6,0.4,-0.6,0,0
50,SC050,sub-38,38,G2,control,hypnose,meditation,0,1,1.2,-0.2,1.2,0,0
96,BR096,sub-39,39,G1,control,meditation,hypnose,1,0,,,,0,1
5,AV005,sub-40,40,G1,control,meditation,hypnose,1,0,,,,1,1
