NEUCOSE_ELSES07842, EH070
NEUCOSE_LECPA07862, LP087
NEUCOSE_HARMA07939, HM076
NEUCOSE_BUEAL07925, BA043
NEUCOSE_BLUAL07960, BA093
NEUCOSE_MANPA07927, MP091
NEUCOSE_BETLO07962, BL067
NEUCOSE_MAUGI07290, GM021
NEUCOSE_NICJU06244, NJ029
NEUCOSE_BOLCL07876, BC082
NEUCOSE_GANPI08027, GP100
NEUCOSE_FEYVA07961, FV064
NEUCOSE_GASNA07853, GN052
NEUCOSE_PETVE07999, PV046
NEUCOSE_VERJU08003, VJ089
NEUCOSE_LUNAN07942, LA060
NEUCOSE_PEYMA07865, PM024
NEUCOSE_LARDE07926, LD094
NEUCOSE_BIAFR07234, BF073
NEUCOSE_BUEOS07989, BO038
NEUCOSE_SPRCE07854, CS025
NEUCOSE_FARMI07951, FM085
NEUCOSE_MONAL07998, MA041
NEUROCSE_ADOBE07864, AB102
NEUCOSE_AARKR06757, KA001
NEUCOSE_RODJO08030, RJ086
NEUCOSE_CAMFA08095, CF081
NEUCOSE_ESQCH08073, EC084
NEUCOSE_HOYRO06133, HR034
NEUCOSE_COMTH07661, CT062
NEUCOSE_DUPMU07953, DM101
NEUCOSE_SALRA07868, SR044
NEUCOSE_CREJU07988, JC014
NEUCOSE_ANSVA07950, AV007
NEUCOSE_PLAJA02876, PJ051
NEUCOSE_CHAET07954, CE056
NEUCOSE_MARGA07877, MG078
NEUCOSE_SENCL07867, SC050
NEUCOSE_BUCRO07986, BR096
NEUCOSE_VASAU07841, AV005
